Comment,Emotion,processed_comment,labeled_taget
i feel that the team at target has given me valuable experience and feedback which i will use constructively to help me both within my studies and in the future,joy,feel team target give valuable experience feedback use constructively help study future,2
i hope mine goes well again because at the moment i m unfortunately feeling a bit resentful with the aftermath of the holidays,anger,hope go moment m unfortunately feel bit resentful aftermath holiday,0
i wish i did more of because every time i do i come away feeling invigorated and inspired,joy,wish time come away feel invigorate inspire,2
i still wake up every morning feeling so blessed to be here and unable to believe im lucky enough to be able to call this amazing family mine for life,joy,wake morning feeling blessed unable believe m lucky able amazing family life,2
i mean their puzzle section is about on par with my coffee numb mental faculties right now but still crosswords shouldnt be able to make me feel that dissatisfied,anger,mean puzzle section par coffee numb mental faculty right crossword not able feel dissatisfy,0
i was feeling as if i am in the lap of the divine mother and she is holding me in her soft and tender arms,joy,feel lap divine mother hold soft tender arm,2
i was feeling frustrated somewhere between season and season of ccs anime and found the anipike website and that there were fanfictions written about ccs characters,anger,feel frustrated season season ccs anime find anipike website fanfiction write ccs character,0
i came home from work today feeling satisfied that work went alright,joy,come home work today feel satisfied work go alright,2
i have played a great set i feel really hesitant to ask,fear,play great set feel hesitant ask,1
i am feeling adventurous and extra musical,joy,feel adventurous extra musical,2
i really feel so vunerable and frightened,fear,feel vunerable frighten,1
i could have checked it down to the back and i feel like i got greedy and took a shot at the endzone and didn t throw the right ball i wanted to throw and then it got picked off,anger,check feel like get greedy take shot endzone didn t throw right ball want throw get pick,0
i feel like you feel this is a mistake but time is fucked up sleep won t take,anger,feel like feel mistake time fuck sleep win t,0
i was feeling wronged and impotent,anger,feel wrong impotent,0
i remember the same giddy feeling of contented good fortune lucky lucky me here safe in our cozy home watching my fabulous man head off for the day knowing he ll be coming home to me in a few hours,joy,remember giddy feeling content good fortune lucky lucky safe cozy home watch fabulous man head day know ll come home hour,2
i sobbed and cried to him feeling quite vulnerable and he did nothing said nothing,fear,sob cry feel vulnerable say,1
im sure she left feeling angry and unhappy but she also caused members of staff to feel angry aggressive and upset hurt as her final say was a personal attack to say we were awful individuals with bad attitudes,anger,m sure leave feel angry unhappy cause member staff feel angry aggressive upset hurt final personal attack awful individual bad attitude,0
i feel their pain and its not pleasant,joy,feel pain pleasant,2
i think of the future of the subcontinent i find myself feeling optimistic despite everything i read in the papers,joy,think future subcontinent find feel optimistic despite read paper,2
i was already feeling pretty nervous about this prospect as i had a suitcase full of dvds of which we only watched one,fear,feel pretty nervous prospect suitcase dvds watch,1
i admit to feeling slightly alarmed that her book was also based on olden sarawak and there seemed to be parallel plot lines to the jugra chronicles,fear,admit feel slightly alarmed book base olden sarawak parallel plot line jugra chronicle,1
ive been feeling much more confident,joy,ve feel confident,2
i just need to find ways to feel pretty,joy,need find way feel pretty,2
ive been feeling like im on shaky quilting waters and have started questioning my work,fear,ve feel like m shaky quilting water start question work,1
i worried over the feeling of supposed to being at church but rich and dr,joy,worry feeling suppose church rich dr,2
i suppose i was moping in my own misery feeling extremely agitated by a lot of people,fear,suppose mope misery feel extremely agitated lot people,1
i am feeling impatient i havent been blogging because each day was pretty similar sleep eat pregnancy pains sleep etc,anger,feel impatient not blogge day pretty similar sleep eat pregnancy pain sleep etc,0
i was feeling stressed or run down to support the immune system,anger,feel stressed run support immune system,0
i dream of jeannie i could still feel the violent grip of his hands on my shoulders,anger,dream jeannie feel violent grip hand shoulder,0
i feel after reading allthingsbucks blog which brought tears to my eyes and a lump in my throat and a feeling of not having a worthwhile thing to be upset about that i shouldnt write such a lame blog,joy,feel read allthingsbucks blog bring tear eye lump throat feeling have worthwhile thing upset not write lame blog,2
i was abruptly reminded of why i was feeling so agitated in la,fear,abruptly remind feel agitated la,1
i guess thats why i bought some black nail varnish cos i was feeling rebellious,anger,guess s buy black nail varnish cos feel rebellious,0
i climbed the hill feeling frustrated that id pretty much paced entirely wrong for this course and that a factor that has never ever hampered me had made such a dent in the day,anger,climb hill feeling frustrate d pretty pace entirely wrong course factor hamper dent day,0
i was feeling pretty cranky about it but when i called the garage door guy this morning he said that his scheduler wasnt in because her husband had a massive heart attack over the weekend hes okay so he couldnt give me a time the repairman will call before he comes,anger,feel pretty cranky call garage door guy morning say scheduler not husband massive heart attack weekend s okay not time repairman come,0
im feeling very uncomfortable there the comfort and warmth is just not there any more,fear,m feel uncomfortable comfort warmth,1
i am not even italian but i feel outraged by the stupidity of ppl on this blog,anger,italian feel outraged stupidity ppl blog,0
im not feeling frantic yet so instead i am going to make this sleep teddy,fear,m feel frantic instead go sleep teddy,1
i feel that the most talented of illustrators designers are ones that know how to get an idea across without the trappings of crosshatching and lensflares on everything,joy,feel talented illustrator designer one know idea trapping crosshatch lensflare,2
i was feeling shaken walking along the streets and less able to concentrate on not having an accident while simultaneously worrying about having one due to not concentrating,fear,feeling shake walk street able concentrate have accident simultaneously worry have concentrate,1
i feel absolutely overwhelmed by it,fear,feel absolutely overwhelmed,1
i feel like i should rely entirelly on gods word yet i am impatient to wait,anger,feel like rely entirelly god word impatient wait,0
im feeling a bit distressed about it,fear,m feel bit distressed,1
i find myself feeling happy more and more and it feels so very good,joy,find feel happy feel good,2
i have been feeling the need to be creative,joy,feel need creative,2
i think a lot of the fun there is in meeting the players expectation and making the player feel clever making it seem like they re not just clicking on an option you know,joy,think lot fun meet player expectation make player feel clever make like click option know,2
i feel so spiteful towards people sometimes just the way they look makes me want to hurt them,anger,feel spiteful people way look make want hurt,0
im feeling annoyed to add on i dont feel important or whatever shit anymore,anger,m feel annoyed add not feel important shit anymore,0
i had stated to her the reason i feel so fearful is because i feel unsafe,fear,state reason feel fearful feel unsafe,1
i feel peaceful secure and independent,joy,feel peaceful secure independent,2
im feeling intimidated by my own achievements,fear,m feeling intimidate achievement,1
i feel fearful and then actually do that one thing it usually turns out to be a good thing,fear,feel fearful actually thing usually turn good thing,1
i have to actually tell myself to breathe breathe breathe in and out when i feel absolutely terrified because i know i can t just go home that the life i missed isn t there anymore,fear,actually tell breathe breathe breathe feel absolutely terrified know t home life miss isn t anymore,1
i dunno the word im even looking for i guess because im not exactly how i feel im selfish i know,anger,dunno word m look guess m exactly feel m selfish know,0
i feel like its petty to be worried about it,anger,feel like petty worried,0
i feel you and its so sincere,joy,feel sincere,2
ive been feeling immensely overwhelmed,fear,ve feel immensely overwhelmed,1
i am feeling rebellious which is often i suppose,anger,feel rebellious suppose,0
i don t know i just had this gut feeling and it just really bothered me he said,anger,don t know gut feeling bother say,0
the time when my sister had her first baby i was so happy and joyous because she stayed for two days after marriage before she had a child,joy,time sister baby happy joyous stay day marriage child,2
i feel like my go to emotion is angry,anger,feel like emotion angry,0
i know shes right because i feel more energetic awake patient and happy when im running daily but i still feel a little bad too because i believe breast milk is so much better for babies than formula,joy,know s right feel energetic awake patient happy m run daily feel little bad believe breast milk well baby formula,2
stranded in the north of fraser island with a submerged wd hire vehicle,fear,strand north fraser island submerge wd hire vehicle,1
i feel is hostile kinship or mounting nausea did you know that back means the binding itself,anger,feel hostile kinship mount nausea know mean bind,0
is name in the opening passages saying it may strike the reader as rather singular and far fetched but he may feel assured that it was by no means far fetched and that the circumstances were such that it would have been impossible to give him any other name,joy,opening passage say strike reader singular far fetched feel assure mean far fetched circumstance impossible,2
i feel that at shows and around show horses people are trusting and relaxed because most show horses are safe and quiet and are handled frequently,joy,feel show horse people trust relaxed horse safe quiet handle frequently,2
im feeling a little more hopeful about my future and like matty always says i want my world to get bigger,joy,m feel little hopeful future like matty say want world big,2
i feel so insecure about my writing,fear,feel insecure writing,1
i feel though its pretty dangerous to to apply one strategy to match,anger,feel pretty dangerous apply strategy match,0
i know both of them feel threatened by the job i do even after long years but i get really tired of the ganging up i get from them,fear,know feel threaten job long year tired ganging,1
i still try to force myself to do some even if i m feeling irritable withdrawn and quiet at the time,anger,try force m feel irritable withdraw quiet time,0
i miss how safe and comfortable he made me feel and how vulnerable i was able to be with him because i knew he loved me,fear,miss safe comfortable feel vulnerable able know love,1
i hesitate to give out stars for any books because i feel that giving it stars is saying that it is absolutely perfect and there are no improvements to be made,joy,hesitate star book feel give star say absolutely perfect improvement,2
i also feel as though this assumption is rude as soon as they are informed they are married the next question follows do you have kids,anger,feel assumption rude soon inform marry question follow kid,0
ive talked with her telling her that sometimes i feel shes not sincere,joy,ve talk tell feel s sincere,2
im not enjoying winter hate feeling cold and having to dress in so many layers,anger,m enjoy winter hate feel cold have dress layer,0
i did this especially feels strongly at the moment with gina who just died but had as fucked up as a family as you could ever imagine and wrote me letters during my misgivings and insecure times about how my love was enough,anger,especially feel strongly moment gina die fuck family imagine write letter misgiving insecure time love,0
i didnt sleep quite as well last night but i still feel quite energetic this morning,joy,not sleep night feel energetic morning,2
i get angry at myself when i feel bitter,anger,angry feel bitter,0
i could even think about it i said uh well most days i feel like im being tortured i want to pull all my hair out and scream so i guess not,anger,think say uh day feel like m torture want pull hair scream guess,0
i feel overly distracted so tabby and i started again working on the paths and the routes we have here through the woods down to the big creek and around the former second meadow,anger,feel overly distracted tabby start work path route wood big creek second meadow,0
i don t feel that irritated,anger,don t feel irritated,0
im feeling font friendly,joy,m feel font friendly,2
i was sipping my diet coke watching my the swimming lessons and feeling aggravated that my mousekins were not being better listeners the thought crossed my mind,anger,sip diet coke watch swimming lesson feel aggravate mousekin well listener thought cross mind,0
i do that he can t stand feeling threatened and looking over his shoulder,fear,t stand feel threatened look shoulder,1
i forgot to take it yesterday so this morning i took two i feel super sick now,joy,forgot yesterday morning take feel super sick,2
i really don t feel all that bothered by the north london derby,anger,don t feel bother north london derby,0
i didn t have feelings for them but seriously after a while how do you feel love for someone who treats you with such disregard i was faithful and loyal,joy,didn t feeling seriously feel love treat disregard faithful loyal,2
i went into that feeling more than a little bit scared as my running training to date had been almost non existent,fear,go feeling little bit scared running training date non existent,1
i am feeling manipulkated and wronged by my son and its as though he is lucy and i am charlie brown,anger,feel manipulkate wrong son lucy charlie brown,0
im also feeling more shaky in my confidence in my faith but at the same time i feel like im growing spiritually a lot and also growing a lot in my understanding of the world around me,fear,m feel shaky confidence faith time feel like m grow spiritually lot grow lot understanding world,1
i am most defensive when i feel most threatened,fear,defensive feel threatened,1
im feeling quite pleased this week,joy,m feel pleased week,2
i suppose if one were to love someone one would feel doubtful,fear,suppose love feel doubtful,1
im just feeling seriously pissed off at myself for doing something fantabulous but utterly stupid,anger,m feel seriously piss fantabulous utterly stupid,0
i feel rich indeed,joy,feel rich,2
i feel so vulnerable and yet so protective over her,fear,feel vulnerable protective,1
i was just not feeling up to it for a few reasons but i am so glad to be back,joy,feel reason glad,2
i feel the divine envelope me when i watch literally hundreds of faithful at mass in line for eucharist hundreds of people who include professors homeless bankers students rich poor mentally ill healthy conservatives liberals gay straight sweet rude arrogant kind,joy,feel divine envelope watch literally hundred faithful mass line eucharist hundred people include professor homeless banker student rich poor mentally ill healthy conservative liberal gay straight sweet rude arrogant kind,2
i could feel his sweet spirit and i was happy to be helping him,joy,feel sweet spirit happy help,2
i wasnt going to post anything about his death because i made me feel mad and shitty,anger,not go post death feel mad shitty,0
i wasn t feeling reluctant because i was spending money we don t really have an ipad at x price is way out of the question,fear,wasn t feel reluctant spend money don t ipad x price way question,1
i chose to share that little personal snippet in my phone because i know i m not the only one that feels this way and i know i m not the only one that was petrified to face it,fear,choose share little personal snippet phone know m feel way know m petrify face,1
i said feeling a little shaky as i stared at the ocean from which the goddess was rising not knowing why,fear,say feel little shaky stare ocean goddess rise know,1
i love that its adoption of a teenager which many people feel afraid to consider,fear,love adoption teenager people feel afraid consider,1
earth crake,fear,earth crake,1
when i received the first year results as the first year had involved a lot of work and i was very pleased when i got the results,joy,receive year result year involve lot work pleased get result,2
i too still believe in feminism and i still believe in the saving power of rock music as bauer proclaims at the end of the article so why am i left feeling skeptical and unconvinced,fear,believe feminism believe saving power rock music bauer proclaim end article leave feel skeptical unconvinced,1
i feel fabulous about it,joy,feel fabulous,2
ive been feeling so bothered lately,anger,ve feel bother lately,0
i worry that he s feeling resentful for doing woman s work,anger,worry s feel resentful woman s work,0
i try to hold my tongue try to see it from his point of view but inside i am feeling agitated and irritable about all this pressure to please him when i cannot seem to get my own self in order,fear,try hold tongue try point view inside feel agitated irritable pressure self order,1
i ignored her minor tantrum and jumped down from the table beginning to pace again and feeling agitated,fear,ignore minor tantrum jump table begin pace feel agitated,1
i feel i am beyond pissed off disappointed frustrated with myself,anger,feel piss disappointed frustrated,0
i can stop relying on the views of others for my self worth and thus not feel so threatened by their behaviors,fear,stop rely view self worth feel threaten behavior,1
i feel as though the past two months have been a strange waking hour upon the even stranger dream of everything my years in wisconsin were and were not,fear,feel past month strange wake hour strange dream year wisconsin,1
i know its only the beginning of and im already feeling fucked,anger,know beginning m feel fuck,0
i become more comfortable in this remodeled office i am feeling much gratitude for its wonderful amenities,joy,comfortable remodel office feel gratitude wonderful amenity,2
i feel so excited about it,joy,feel excited,2
i kinda feel like being rebellious a libertine you know,anger,kinda feel like rebellious libertine know,0
i have a sense of both in my mind s eye i feel that divine energy way up aloft and i experience its reflection in me sometimes like a rare sunny day in a rainy climate,joy,sense mind s eye feel divine energy way aloft experience reflection like rare sunny day rainy climate,2
i feel like it gave me a lot of valuable information on ways i can improve my skin in the present and maintain and improve it in the future,joy,feel like give lot valuable information way improve skin present maintain improve future,2
i feel confused after that,fear,feel confused,1
i know he s feeling to me is sincere so i could tolerate these small trouble but i can t stand his this character in the performance of the sex life of husband and wife,joy,know s feel sincere tolerate small trouble t stand character performance sex life husband wife,2
i have a lovely nesty feeling after looking at all that cute teeny weeny clothing,joy,lovely nesty feeling look cute teeny weeny clothing,2
i will learn to express my feelings in a way more acceptable,joy,learn express feeling way acceptable,2
im feeling a bit stressed by the sheer numbers button pressing enthusiasts gathering around my bike,anger,m feel bit stress sheer number button press enthusiast gather bike,0
i go on these walks with my mother in the evenings i feel this frantic anxious energy from her as if shes losing her daughter and doesnt know how to win her back,fear,walk mother evening feel frantic anxious energy s lose daughter not know win,1
i finished it feeling amazing,joy,finish feel amazing,2
i feel pressured when people say im going t beat you or whatever,fear,feel pressured people m go t beat,1
i feel jealous on sumthg tat i thk of,anger,feel jealous sumthg tat thk,0
i want to go in feeling eager and come out with a dazzling cert whilst on the phone with my mum feeling that at least ive made her proud,joy,want feel eager come dazzle cert whilst phone mum feel ve proud,2
i wont go on about the anxieties i am feeling about this is being as neurotic as me about this,fear,will not anxiety feel neurotic,1
i feel petty a href http clairee,anger,feel petty href http clairee,0
i also did feel like i was excited to come back like i have two homes now,joy,feel like excited come like home,2
i feel less keen about the winston churchill quote really i feel less keen about the winston churchill quote a href http www,joy,feel keen winston churchill quote feel keen winston churchill quote href http www,2
i say goodbye to the fam theyre all sad a crying and i feel like a heartless bitch because hey im pretty excited to be flying for the first time and you know also to spend a year in another country,anger,goodbye fam sad crying feel like heartless bitch hey m pretty excited fly time know spend year country,0
i didn t feel like i was being bitchy at the time but upon retrospect why wouldn t he think that i was trying to shake him off,anger,didn t feel like bitchy time retrospect wouldn t think try shake,0
i love feeling brave,joy,love feel brave,2
i could prepare a bunch of my own dishes made in the safety and control of my home so i can at least feel safe in what ive prepared,joy,prepare bunch dish safety control home feel safe ve prepare,2
i feel its my job to give you perspective to at least attempt to provide context as to why seemingly intelligent folk say such unimaginable things,joy,feel job perspective attempt provide context seemingly intelligent folk unimaginable thing,2
i feel vulnerable when im alone not only because i feel so incapable of defending myself but also because i could go into labour at any point,fear,feel vulnerable m feel incapable defend labour point,1
i feel that people cannot possibly appreciate me that any compliments toward me cannot possibly be sincere or that i dont deserve compliments in the first place,joy,feel people possibly appreciate compliment possibly sincere not deserve compliment place,2
i am too fragile to feel too vulnerable of pain and too easy for tears,fear,fragile feel vulnerable pain easy tear,1
im not feeling quite so adventurous i might just find a quiet spot to read,joy,m feel adventurous find quiet spot read,2
im feeling a bit uncertain its comforting to me to draw these trusty old louche animals,fear,m feel bit uncertain comforting draw trusty old louche animal,1
i love the way he talks sometimes i feel shy when i was inside him,fear,love way talk feel shy inside,1
i still feel jealous of my friends when their moms talk politely with them,anger,feel jealous friend mom talk politely,0
i am feeling pressured and backed into a corner,fear,feel pressured back corner,1
i feel so pissed about myself,anger,feel pissed,0
i am feeling terribly mellow today sitting in bed looking out the window at the red orange green brown trees outside my window listening to norah jones and reading stuff,joy,feel terribly mellow today sit bed look window red orange green brown tree outside window listen norah jones read stuff,2
i really could not feel a thing and i felt slightly annoyed at the nurse who every time i pushed kept saying things like you are an incredibly strong woman be strong be strong,anger,feel thing feel slightly annoy nurse time push keep say thing like incredibly strong woman strong strong,0
i did feel scared now,fear,feel scared,1
i feel like all women are witches in someway why do we have to be tortured for being beautiful and powerful,anger,feel like woman witch someway torture beautiful powerful,0
i punched out of work sunday sighed and the brunch trumpeter waldo carter said from behind i know exactly how you feel this startled me and i flinched,fear,punch work sunday sigh brunch trumpeter waldo carter say know exactly feel startle flinch,1
a teacher was very blunt in his relation to a child so that the child was very upset when arriving at home,anger,teacher blunt relation child child upset arrive home,0
im feeling so pissed off now,anger,m feel pissed,0
i didn t feel relieved,joy,didn t feel relieved,2
i feel very apprehensive,fear,feel apprehensive,1
i walk by those temptations i feel disgusted,anger,walk temptation feel disgusted,0
i hate the way mom and dad are to her i hate the neglect of her feelings and her needs as an intelligent child that are rampant in their parenting style,joy,hate way mom dad hate neglect feeling need intelligent child rampant parenting style,2
before an exam which i,fear,exam,1
i feel i am writing this blog for selfish reasons but i know god can use it for his her purpose,anger,feel write blog selfish reason know god use purpose,0
i guess the finality of my decision and the financial repercussions have me feeling doubtful,fear,guess finality decision financial repercussion feel doubtful,1
i have no idea why but i get gastric pain when i feel stressed up,anger,idea gastric pain feel stress,0
i know that there is some cynicism involved but i also know that it s come from the lessons i ve learned over the last couple years of life and i don t feel resentful or damaged because of it i feel fortunate enough to have been clubbed upside the head with a bigger dose of reality,anger,know cynicism involve know s come lesson ve learn couple year life don t feel resentful damage feel fortunate club upside head big dose reality,0
i think i like how it feels more lively in the dorama,joy,think like feel lively dorama,2
i get frustrated when i know that some of the things i am thinking or feeling are very very petty so i try and limit myself to opinions that have some sort of validity,anger,frustrate know thing think feeling petty try limit opinion sort validity,0
i feel graceful and almost mythical,joy,feel graceful mythical,2
i don t feel resentful i feel guilty,anger,don t feel resentful feel guilty,0
i get on new years eve but it makes me feel rebellious being underage and all,anger,new year eve make feel rebellious underage,0
i feel selfish on the days i dont feel well and want to be left alone in my misery,anger,feel selfish day not feel want leave misery,0
i feel irritable and unfulfilled if i dont paint for several days,anger,feel irritable unfulfilled not paint day,0
i feel more adventurous willing to take risks img src http cdn,joy,feel adventurous willing risk img src http cdn,2
i always feel invigorated while listening to her that we can win this war against predatory school deform,joy,feel invigorated listen win war predatory school deform,2
i was feeling pretty bitchy and horrible but dont worry,anger,feel pretty bitchy horrible not worry,0
i have been walking around feeling pissed off at the world lately,anger,walk feel piss world lately,0
i feel free exhilarated,joy,feel free exhilarated,2
i feel angry im happy,anger,feel angry m happy,0
i is feeling particularly hostile shell say no red shirt today nickey,anger,feel particularly hostile shell red shirt today nickey,0
i hear the word and i feel stronger and re assured once again,joy,hear word feel strong assure,2
my girlfriend sent me a letter with a shiny picture in it,joy,girlfriend send letter shiny picture,2
i hear you loud and clear that this is an important issue for you but in the grand scheme of things i cant help but feel that this is so petty,anger,hear loud clear important issue grand scheme thing not help feel petty,0
i feel like i should care that im a bit heartless not to,anger,feel like care m bit heartless,0
i feel hes being very casual with my entire future,joy,feel s casual entire future,2
im feeling a bit suspicious,fear,m feel bit suspicious,1
i feel equally morally outraged regardless of whether its michigans or new yorks governor sleeping with prostitutes behind his wifes and daughters backs,anger,feel equally morally outraged regardless michigan new york governor sleep prostitute wife daughter back,0
i am tired feeling overwhelmed and it seems like i am being assaulted from every direction i am not always at my best,fear,tired feeling overwhelmed like assault direction good,1
im actually feeling a little smug,joy,m actually feel little smug,2
i met you i used to want to lock myself into a vault just to feel precious,joy,meet want lock vault feel precious,2
i really want to share the chance for you to win too because i feel passionate about the subject,joy,want share chance win feel passionate subject,2
i can t help myself from feeling a bit apprehensive in the meantime,fear,t help feel bit apprehensive meantime,1
im not feeling exactly thrilled with standing in front of a mirror if you know what i mean,joy,m feel exactly thrilled stand mirror know mean,2
i know all art animals are lame and i feel particularly violent about the crabs,anger,know art animal lame feel particularly violent crab,0
i always intended on achieving just so i could be with everyone else and feel like i was an intelligent productive and successful person,joy,intend achieve feel like intelligent productive successful person,2
i still think it is worth posting here as a reminder for the next time i feel anxious,fear,think worth post reminder time feel anxious,1
i cant help but feel distraught,fear,not help feel distraught,1
i ask you not to feel pressured by this,fear,ask feel pressure,1
i feel uncomfortable and slobby,fear,feel uncomfortable slobby,1
i feel as though sometimes i can be more clever than average,joy,feel clever average,2
i growled at her i began to feel extremely annoyed with her,anger,growl begin feel extremely annoyed,0
i feel cheated and wronged let down and spurned the vine i tended and nursed how could it do this to me,anger,feel cheat wrong let spurn vine tend nurse,0
i didn t want them sending me crap i d feel almost insulted to win and embarrassed for whoever made it like in oregon,anger,didn t want send crap d feel insult win embarrass like oregon,0
i feel so impatient and sometimes i feel thankful that god gave me more time for the moulding of my heart,anger,feel impatient feel thankful god give time moulding heart,0
i feel a bit frightened that you are touching my car while i am away repeatedly i ask you to stop putting stuff on it,fear,feel bit frightened touch car away repeatedly ask stop put stuff,1
im just happy to be feeling something because for the last few days ive felt pretty,joy,m happy feel day ve feel pretty,2
i am feeling that it my be a more dangerous task than dancing in a lightening storm with an umbrella,anger,feel dangerous task dance lightening storm umbrella,0
i just wish i didnt feel like my roommates hated me half the time,anger,wish not feel like roommate hate half time,0
i often feel offended by life,anger,feel offend life,0
i need to do after much prayer considering things like this but i still always feel a little reluctant to act but i do anyway,fear,need prayer consider thing like feel little reluctant act,1
im feeling pretty paranoid and trying to cover the cash and protect my belongings it definitely felt like i was doing something i shouldnt be doing like money laundering or something,fear,m feel pretty paranoid try cover cash protect belonging definitely feel like not like money laundering,1
i have to admit i was feeling very skeptical,fear,admit feel skeptical,1
i was intensely conscious of how much cash i had left in my gas and food envelope and i still have what i intended to save for next week which helps me not feel so stressed and scared,anger,intensely conscious cash leave gas food envelope intend save week help feel stressed scared,0
i feel irritated that he either interrupts my quiet time or wakes me up,anger,feel irritated interrupt quiet time wake,0
im getting the feeling that my classes are a little intimidated by the concept of a lit,fear,m get feeling class little intimidate concept lit,1
im feeling very grumpy this week but its not just my annual outbreak of ptpt pre te pouhere tension there has surely been a great deal to be grumpy about this week,anger,m feel grumpy week annual outbreak ptpt pre te pouhere tension surely great deal grumpy week,0
i feel it is vital to make the most of that day and live it to our fullest potential,joy,feel vital day live full potential,2
i was feeling annoyed suddenly,anger,feel annoyed suddenly,0
i feel very disgusted by that i cant tolerated her actions anymore by writing this post,anger,feel disgusted not tolerate action anymore write post,0
i feel completely shaken up,fear,feel completely shake,1
im so excited but feeling scared too,fear,m excited feel scared,1
i felt like i was losing control of my body and it was hard for me to feel calm and positive about that because it wasn t an irrational thought,joy,feel like lose control body hard feel calm positive wasn t irrational thought,2
i feel like if there are pickles in the fridge everything will be ok,joy,feel like pickle fridge ok,2
i am feeling hopeful and looking forward once again,joy,feel hopeful look forward,2
i still did not really feel like myself and i kind of hated these pictures but i am soooo glad we took them,anger,feel like kind hate picture soooo glad take,0
i feel like there is a violent war going on in my stomach,anger,feel like violent war go stomach,0
i had this strange feeling that she was incredibly distressed,fear,strange feeling incredibly distressed,1
i ask him if he is feeling adventurous and wants to see that one since he already booked his friday and saturday nights and i already know he has church stuff on sundays,joy,ask feel adventurous want book friday saturday night know church stuff sunday,2
im finally looking forward to my toes kissing the sand once again and feeling so free,joy,m finally look forward toe kiss sand feel free,2
i already feel like ive been accepted into the community here,joy,feel like ve accept community,2
i wonder if feeling complacent is a result of my laziness,joy,wonder feel complacent result laziness,2
i guess only my wife can really know for sure but i feel at least a little bit less selfish since being married,anger,guess wife know sure feel little bit selfish marry,0
when i saw my family after a separation of one year,joy,see family separation year,2
i feel frustrated irritable even,anger,feel frustrated irritable,0
i think if a poem doesn t put pressure on me i don t feel uncomfortable in the sense of feeling more than i can feel understanding more than i can understand loving more than i am able to be in love,fear,think poem doesn t pressure don t feel uncomfortable sense feel feel understand understand love able love,1
id like to be less afraid to say how i really feel less afraid to travel,fear,d like afraid feel afraid travel,1
i feel so pissed off that i can bite off a fucking tree log,anger,feel pissed bite fucking tree log,0
i feel another violent daydream coming up and i bet it has something to do with me getting my hands on a saint just costume,anger,feel violent daydream come bet get hand saint costume,0
i never realized just how awful my mother has been feeling about her lack of energy and independence until i had this operation and have been so wimpy and tired,fear,realize awful mother feel lack energy independence operation wimpy tired,1
i feel insulted by this that he doesnt even respect me enough to let me know hes not coming not until i indicated i was going to bed,anger,feel insult not respect let know s come indicate go bed,0
i was told to do it continues and the fact i feel fear frightened correction terrified of what is next,fear,tell continue fact feel fear frightened correction terrify,1
im not quite sure what it is but its a feeling specially for you and its nothing hostile,anger,m sure feeling specially hostile,0
i have a feeling that jeremy is not going to be too keen on the vinegary smell that calli is giving off right now,joy,feeling jeremy go keen vinegary smell calli give right,2
i worked as a computer tech this ability to hyper focus on one issue is a real asset however for living day to day i can get bogged down and feel frustrated that i am not making progress because i am focused on one problem,anger,work computer tech ability hyper focus issue real asset live day day bogge feel frustrated make progress focus problem,0
i may resurrect when im feeling more generous i did an all too lengthy series on a history of my celebrity crushes,joy,resurrect m feel generous lengthy series history celebrity crush,2
i told him it is because asians are very considerate so whenever a person is not feeling well they would have the common courtesy to wear a mask to reduce risk of spreading it to people around us,joy,tell asian considerate person feel common courtesy wear mask reduce risk spread people,2
im feeling anxious all im really trying to do is project the exact opposite,fear,m feel anxious m try project exact opposite,1
id tell him that i feel that to cede control of our lives is the only way to prevent doomnation extremely clever play on damnation i know,joy,d tell feel cede control life way prevent doomnation extremely clever play damnation know,2
i feel hated and isolated but it doesn t hurt,anger,feel hated isolate doesn t hurt,0
i cannot and i feel a strange sadness for a thing that i m now ready for but cannot do,fear,feel strange sadness thing m ready,1
i used feel frustrated all the time,anger,feel frustrated time,0
i thought about it later feeling anxious and worried,fear,think later feel anxious worried,1
i might start feeling nervous tomorrow but im not sure,fear,start feel nervous tomorrow m sure,1
i got this amazing news from tracy today the final covers only chapters no wonder we were feeling so rushed and it seemed we didnt have enough time,anger,get amazing news tracy today final cover chapter wonder feel rushed not time,0
i was feeling quite nervous,fear,feel nervous,1
i feel angered and firey,anger,feel angered firey,0
i feel so petty getting all worked up about all this stuff but thats not really whats made me the way i am,anger,feel petty getting work stuff s s way,0
i feel my children are in harms way i feel frightened,fear,feel child harm way feel frightened,1
i still am not able to remember a single dull moment a detail that pissed me off a thing i didnt feel comfortable about,joy,able remember single dull moment detail piss thing not feel comfortable,2
i questioned myself wondering why didnt i feel jubilant,joy,question wonder not feel jubilant,2
i love gives me a great feeling of contented accomplishment,joy,love give great feeling contented accomplishment,2
i mean how would you feel if euan got hauled in for murder but you knew he was innocent,joy,mean feel euan get haul murder know innocent,2
i always got the feeling she hated me,anger,get feeling hate,0
i am feeling very restless irritable and discontent,fear,feel restless irritable discontent,1
i ended the episode feeling really pissed,anger,end episode feeling pissed,0
i was to do the same to them i would have this guilty conscience and i would feel like a heartless bitch,anger,guilty conscience feel like heartless bitch,0
i closed her eyes in anger and feeling disgusted by this touch,anger,close eye anger feeling disgust touch,0
i was feeling out of sorts anxious not sure what to do with myself,fear,feel sort anxious sure,1
i feel any team pretty dangerous in playoffs york left wing ruslan fedotenko notes said,anger,feel team pretty dangerous playoff york left wing ruslan fedotenko note say,0
i feel really petty at the moment because i am extremely angry because im broke at the moment and it sort of pisses me off,anger,feel petty moment extremely angry m break moment sort piss,0
